Date;High;Low;Close;ADX
11.02.2009;30.2;29.41;29.87;
12.02.2009;30.28;29.32;30.24;
13.02.2009;30.45;29.96;30.1;
17.02.2009;29.35;28.74;28.9;
18.02.2009;29.35;28.56;28.92;
19.02.2009;29.29;28.41;28.48;
20.02.2009;28.83;28.08;28.56;
23.02.2009;28.73;27.43;27.56;
24.02.2009;28.67;27.66;28.47;
25.02.2009;28.85;27.83;28.28;
26.02.2009;28.64;27.4;27.49;
27.02.2009;27.68;27.09;27.23;
02.03.2009;27.21;26.18;26.35;
03.03.2009;26.87;26.13;26.33;
04.03.2009;27.41;26.63;27.03;
05.03.2009;26.94;26.13;26.22;
06.03.2009;26.52;25.43;26.01;
09.03.2009;26.52;25.35;25.46;
10.03.2009;27.09;25.88;27.03;
11.03.2009;27.69;26.96;27.45;
12.03.2009;28.45;27.14;28.36;
13.03.2009;28.53;28.01;28.43;
16.03.2009;28.67;27.88;27.95;
17.03.2009;29.01;27.99;29.01;
18.03.2009;29.87;28.76;29.38;
19.03.2009;29.8;29.14;29.36;
20.03.2009;29.75;28.71;28.91;
23.03.2009;30.65;28.93;30.61;33.58
24.03.2009;30.6;30.03;30.05;32.15
25.03.2009;30.76;29.39;30.19;29.93
26.03.2009;31.17;30.14;31.12;28.36
27.03.2009;30.89;30.43;30.54;26.9
30.03.2009;30.04;29.35;29.78;25.78
31.03.2009;30.66;29.99;30.04;23.95
01.04.2009;30.6;29.52;30.49;22.78
02.04.2009;31.97;30.94;31.47;22.07
03.04.2009;32.1;31.54;32.05;21.53
06.04.2009;32.03;31.36;31.97;20.8
07.04.2009;31.63;30.92;31.13;19.59
08.04.2009;31.85;31.2;31.66;18.72
09.04.2009;32.71;32.13;32.64;18.75
13.04.2009;32.76;32.23;32.59;18.84
14.04.2009;32.58;31.97;32.19;18.55
15.04.2009;32.13;31.56;32.1;17.73
16.04.2009;33.12;32.21;32.93;17.95
17.04.2009;33.19;32.63;33;18.23
20.04.2009;32.52;31.76;31.94;17.35
21.04.2009;32.44;31.78;32.39;16.54
22.04.2009;33.22;32.09;32.49;16.59
23.04.2009;32.83;32.19;32.8;16.64
24.04.2009;33.62;32.76;33.38;17.41
27.04.2009;33.75;33.04;33.42;18.24
28.04.2009;33.6;33.05;33.17;19
29.04.2009;34.08;33.33;33.63;20.15
30.04.2009;34.58;33.73;33.96;21.61
01.05.2009;34.22;33.7;34.05;22.91
04.05.2009;34.77;34.2;34.73;24.53
05.05.2009;34.74;34.31;34.7;26.04
06.05.2009;35.01;34.14;34.71;27.66
07.05.2009;34.94;33.57;33.89;28.01
08.05.2009;34.42;33.57;33.91;28.33
11.05.2009;34.4;33.37;34.03;28.23
12.05.2009;34.16;33.21;33.62;27.83
13.05.2009;33.34;32.66;32.72;26.45
14.05.2009;33.39;32.77;33.08;25.23
15.05.2009;33.51;32.92;33.06;24.28
18.05.2009;33.96;33.08;33.92;24.05
19.05.2009;34.42;33.64;34.08;24.39
20.05.2009;34.72;33.86;33.96;25.03
21.05.2009;33.94;33;33.34;24.02
22.05.2009;33.66;33.01;33.23;23.08
26.05.2009;34.51;32.87;34.47;23.24
27.05.2009;34.87;34.11;34.23;23.76
28.05.2009;34.75;33.89;34.63;23.83
29.05.2009;35.17;34.44;35.05;24.35
01.06.2009;36.16;35.28;36.05;25.68
02.06.2009;36.45;35.78;36.1;27.12
03.06.2009;36.03;35.6;35.99;28.11
04.06.2009;36.45;36;36.4;29.35
05.06.2009;36.74;36.08;36.44;30.72
08.06.2009;36.61;35.79;36.33;31.39
09.06.2009;36.83;36.33;36.61;32.19
10.06.2009;36.84;35.96;36.48;32.18
11.06.2009;36.89;36.41;36.48;32.23
12.06.2009;36.38;35.87;36.31;31.24
15.06.2009;35.99;35.25;35.57;29.33
16.06.2009;35.86;35.19;35.22;27.47
17.06.2009;35.88;35.12;35.56;25.63
18.06.2009;35.73;35.24;35.49;23.92
19.06.2009;36.07;35.62;35.87;22.89
22.06.2009;35.6;34.74;34.8;21.98
23.06.2009;34.98;34.49;34.72;21.46
24.06.2009;35.58;35;35.3;20.01
25.06.2009;36.07;35;36;19.18
26.06.2009;36.21;35.76;36.08;18.58
29.06.2009;36.46;35.83;36.16;18.36
30.06.2009;36.44;35.82;36.09;18.13
01.07.2009;36.54;36.1;36.11;18.07
02.07.2009;35.81;35.22;35.31;17.05
06.07.2009;35.26;34.76;35.13;16.74
07.07.2009;35.21;34.23;34.25;17.08
08.07.2009;34.59;34.03;34.43;17.64
09.07.2009;34.73;34.37;34.49;17.89
10.07.2009;34.86;34.28;34.64;17.88
13.07.2009;35.31;34.2;35.3;17.06
